day	دن
culture	ثقافت
custom	رواج
polite	شائستہ
Lollywood	لالی ووڈ
Lollywood	لالیووڈ
Lollywood	لالی وڈ
Lollywood	لالیوڈ
Shangla District	شانگلا
vegetable	سبزی
collapse	مات کھانا
collapse	برباد ہونا
collapse	بیٹھنا
neologism	نو الفاظ سازی
Neolithic	پتھر کے زمانے کا آدمی
neologism	نیا علم کلام
velocity	رفتار
veranda	برنڈا
veranda	برامدہ
verb	فعل
Abdus Salam	عبد السلام
Egypt	مصر
Afghanistan	افغانستان
Greece	یونان
user rights	حقوق صارف
user name	نام صارف
user profile	صارف پروفائل
Edward Said	ایڈورڈ سعید
postal horn	پوسٹل ہارن
linguistics	لسانيات
glimpse	پر تو
glimpse	ہلکی سی جھلک دکھنا
glide	پھسلنا
glim	جھلک
glimmer	چمکارا
glimmer	چراغ کی طرح جھلملانا
glimmer	ٹمٹمانا
glimmering	ٹمٹماہٹ
glimpse	ہلکی سی جھلک
glimpse	جھپکی
smoke	دھواں
responsibility	ذِمّیداری
responsibility	ذِمّیداری
officiation	انجام دہی
officialdom	دفتر شاہی
attention	توجہ
attenuate	پتلا کرنا
attention	توجہ
attention	الطفات
attention	غور
attention	نگاہ
attendant	خادم
attendant	ملازم
attending	شنوائ
attention	دھیان
candle	موم بتی
lob	موم بتی
up-and-under	موم بتی
spit	تھوکنا
shirt	قمیض
body text	بنیادی متن
Personal Area Network	ذاتی علاقہ نیٹ ورک
Personal Address Book	ذاتی پتہ جات
yesternight	کل رات
last night	کل رات
Byblos	جبیل
unfortunate	بے بہرہ
unfortunate	بد بخت
coalition	اتحاد صنعتی
labor union	اتحاد صنعتی
syndicate	اتحاد صنعتی
trade union	اتحاد صنعتی
trades union	اتحاد صنعتی
union	اتحاد صنعتی
nuptials	نکاح
nuptial song	جلوہ کا گیت
umbrage	غیظ
umbrage	چھاؤں
umbrage	چھایا
umbrage	برہمی
umbra	چھایا
umbilical cord	ناڑ
Ascension Island	اسینشن آئلینڈ
hilarity	زندہ دلی
miff	ستانا
miffy	تنک مزاج
might	عظمت
might	بل
miff	غصہ
miff	شکر رنجی
miff	برہم کرنا
miff	ناراض کرنا
might	دم
might	قدرت
cog	ورغلانا
cog	گراری کا دندانہ
coffer	پٹارہ
coffin	نعش
coffee	قہوہ
coffer	خزانوے کا صندوق
cog	بے ایمانی کرنا
cog	دھوکا دینا
coffin	تابوت
coffin	صندوق
weak	فاتر
weak	بے بس
toe	انگوٹھا
finger	اُنگلی
toe	اُنگلی
biology	حیاتیات
honoured	مشرف
honoured	سرخ رو
honour	جناب
honourable	با عزت
honour	شرف
honour	وزن
honourableness	شرافت
honoured	عزیز
honourable	مکرم
honourable	شریف
Northern Africa	شمالی افریقہ
Geneva	جنیوا
legacy	ورثہ
left-to-right	بائیں سے دائیں
legacy	ورثہ
left-aligned	بائیں سیدھ
left mouse button	بایاں ماؤس بٹن
left bracket	بائیں بریکٹ
routine	شعاری
routine	عادی
wonted	شعاری
wonted	عادی
beneficence	فیضان
beneficence	فیض
benefit	فائدہ
beneficent	فیاض
beneficial	مفید
beneficial	مدد گار
beneficence	احسان
beneficial	سود مند
benefit	رفاہ
benefit	فیض
St Edmund’s College	سینٹ ایڈمنڈز ہاؤس
doubt	شبہ
wooliness	اونی پن
woolly	اون جیسا
woolly	اون کا بنا
woolly	اونی
wool	اون
wool	پشم
woollen	اونی
wooliness	دھنلا پن
woolly	پشم نما
word	عہد
brothel	کوٹھا
brothel	چکلہ
brother	بھائ
brothel	طوائف گھر
broom	جھاڑو
broth	شوربا
broth	آب جوش
speaker	اسپیکر
speaker off	اسپیکر بند
flower playing cards	جاپانی تاش کا کھیل
adoration	پرستش
adoration	عبودیت
adorable	قابل تعریف
pick out	چننا
select	چننا
choose	چننا
pick	چننا
glut	ہوکے سے کھانا
glutton	بڑ پیٹا
hedge	نگاہ رکھنا
hedge	محاصرہ کرنا
hedge	پہرا دینا
hedge	نگہبانی کرنا
heed	لحاظ کرنا
hedging	احاطہ بندی
heed	پرواہ کرنا
heed	خیال کرنا
heed	توجہ دینا
heed	سننا
diversion	موڑ
diversion	فرحت
Calendula officinalis	گل اشرفی
return	واپس کرنا
return	واپس جانا
return	پھر جانا
return	پھیرنا
return	پلٹانا
return	واپس دینا
return	واپس آنا
return	الٹانا
return	رد کرنا
extraneous	پردیشی
stranger	پردیشی
insouciant	آزاد منش
insouciance	لا تعلقی
insouciance	بے پرواہی
insouciance	بے فکری
largeness	پھیلاؤ
largeness	وسعت
largeness	کشادہ دلی
largeness	کشادگی
largeness	کرم
largeness	کثرت
largeness	فیاضی
largeness	جسامت
lark	دل لگی
lark	کھیل
Amritsar	امرتسر
Ladakh	لدّاخ
disguise	حیلہ
disguise	بہ روپ
disgraceful	اوچھا
disgraced	رسوا
disgraced	ر سیاہ
disgraced	آبرو باختہ
aroma	عطر
fragrance	عطر
odour	عطر
perfume	عطر
scent	عطر
smell	عطر
Urdu	اردو
utensils	متاع
uterus	بچہ دان
utensil	باسن
utensil	بھانڈا
utensil	ظرف
Rhode Island	رہوڈ آئی لینڈ
keep	پرورش کرنا
keep	وعدہ پورا کرنا
keep	رکھنا
keep	ملازم رکھنا
keep	نگہ داشت کرنا
keep	پالنا
keep	بر قرار رکھنا
keep	مالک ہونا
keep	ماننا
teem	بھر پور ہونا
finish	نبٹانا
finish	آخر کرنا
finish	ختم کرنا
finished	ختم
onslaught	وار
onslaught	حملہ
onset	ہجوم
onset	حملہ
onshore	دریا کنارے
onset	شروعات
onrush	آگے کو بڑھاؤ
only	صرف
onset	ہلہ
onset	چھاپہ
line	خطوط مستقیم
pining	کاہش
pinion	پر
pine	فکر کرنا
pine	ہڑکنا
pine	کڑھنا
pine	مرجھانا
pine	صنوبر
pineapple	اننناس
ping	جھنکار
repeat single button	ایک دفعہ دوہرانے کا بٹن
repeat button	دوہرانے کا بٹن
effort	کریا
hard work	کریا
labor	کریا
labour	کریا
task	کریا
toil	کریا
work	کریا
border	کنارا
border	حاشیہ
bordello	قحبہ خانہ
regulator	تنظیم کنندہ
regulation	ضابطہ
regurgitate	قے کرنا
regulator	ضابط
rehablitation	بحالی
rehabilitate	بحال کرنا
rehash	دوہرانا
rehablitation	بر قراری
rehash	چھان پھٹک
rehash	پھر سے مرتب کرنا
brotherhood	اپس داری
brother	ہم شیر
Bronchial Asthma	ذیق ان نفس
Sagittarius	قوس
misdoing	بد کاری
tender	تازہ
tender hearted	ہمدرد
tender	ملائم
tender	نرم
tenderise	ملائم کرنا
tenderly	ملائمیت سے
tender hearted	نرم دل
tenderise	گلانا
function	عمل کام فعل
spleen	تللی
puberty	جوانی
pubescence	جوانی
gun	توپ
gunner	توپچی
bangle	ابرنجن
bangle	ابرنجین
bangle	چوڑی
bracelet	ابرنجن
bracelet	ابرنجین
bracelet	چوڑی
wristlet	ابرنجن
wristlet	ابرنجین
wristlet	چوڑی
fingernail	ناخن
linguistics	لسانیات
Edgar Allan Poe	ایڈ گرایلن پو
ninth	نواں
adopt	مستعار لینا
adopt	لے پالک بنانا
adoption	اختیار
adopted	لے پالک
adorable	دل کش
adoption	انتخاب
adorable	فرحت ذا
arid	خشک
Al-Hakim Mosque	الحاکم مسجد
but	مگر
but	لیکن
gentile	کافر
heathen	کافر
kafir	کافر
babble	بچہ بولی
babble	جھک
baby	شیر خوار
baby	طفل
aye	ہمیشہ
azure	لاجورد
azure	نیلگون
babyhood	بچپن
babyhood	طفولت
plunder	تاراج کرنا
headscarf	رومال
Slovak	سلاواکی
chaos	بد نظمی
chaos	عدم انتظام
paint	پتائ کرنا
Advocate General	وکیل جامِع
Maldivian rufiyaa	مالدیپ کا روفیہ
Maldivian rufiyaas	مالدیپ کا روفیہ
minion	سر چڑھا غلام
minister	پادری
minion	لاڈلی
minion	کاسہ لیس
minimum wage	کم ترین اجرت
minimisation	تخفیف
minimum	کم ترین
minister	وزیر
minissterial	اوزارتی
sport	کھیل
sport	بازی چہ
sport	بازی
sport	کھیلنا
sporadic	شاذ
sporadic	کبھی کبھار
sporadic	اکا دکا
sporadic	بکھرا
spoon	چمچی
spoon	چمچہ
Upper Dir District	اپر دیر
cloak	چڑھنا
cloak	سوار ہونا
cloak	عبا
cloak	چوغہ
cloaca	بد رو
cloaca	مخرج
cloaca	موری
cloaca	نالی
punter	ٹھوکر مارنے والا
punter	گاہک
punishing	گوش مالی
punishment	عقوبت
punning	اہام
punishing	سزا
punishment	علاج
punishment	عذاب
punishment	سزا
punishment	خم یازہ
retina	شبکیہ
retina	ریٹنا
chair	کرسی
wing	پر
lens	عدسہ
jar	دھچکہ
Austin	آسٹن، ٹیکساس
howl	پکار
hub	مدار
howsoever	کتنا ہی
howl	چیخ پڑنا
howl	چیخ
hubble bubble	گڑ بڑ
hubble bubble	ہنگامہ
gasp	سانس لینا
gastrotomy	پیٹ کی جراحی
gat	آب نائے
primeval	اصلی
primitive	اصلی
unadvisable	خلاف مصلحت
unadvisable	غیر معقول
unadulterated	عمدہ
unadulterated	نرا
unadulterated	کورا
unadulterated	خالص
unadulterated	بے ملاوٹ
unadulterated	بے میل
unadvisably	نا مناسب طور پر
unadvisable	نا موافق
Inter-Services Intelligence	انٹر سروسز انٹیلی جنس
afternoon	سندھیا
afternoon	شب
dawn	سندھیا
dawn	شب
eve	سندھیا
eve	شب
evenfall	سندھیا
evenfall	شب
evening	سندھیا
evening	شب
eventide	سندھیا
eventide	شب
evetime	سندھیا
evetime	شب
night	سندھیا
night	شب
nightfall	سندھیا
nightfall	شب
post meridiem	سندھیا
post meridiem	شب
vesper	سندھیا
vesper	شب
section break	صیغہ توڑ
section mark	نشان صیغہ
section	صیغہ
section	صیغہ
section	صیغہ
hand	ہاتھ
face	مکھڑا
face	چہرہ
powerless	کم زور
powerless	مجبور
powerless	نا توان
powerlessness	عاجز
powerful	زور دار
powerless	بے دم
powerless	بے طاقت
powerless	عاجز
powerlessness	کم زوری
powerlessness	مجبوری
Newnham College	نیونہم
curtailed	مختصر
curtailed	کاٹا چھاٹا
curtailment	تخفیف
curtailment	کانٹ چھانٹ
curtain	حجاب
curtain	حاجب
curtain	چادر
curtailing	کانٹ چھانٹ
curtain	پردہ
curtain	اوجھل
snarl	الجھانا
snarl	گتھی
snare	جال
snare	دام
snare	پھندے میں لانا
snare	جال میں پھانسنا
snarl	گرہ
snarl	گانٹھ
snare	پھسل پھندا
snare	پھندا
sincere	راسخ
since	جب سے
sincere	عدل
sin	قصور
since	چوں کہ
sincere	بے ریا
sincere	خیر اندیش
petty	جزوی
petitioner	سائل
petitioner	سوالی
petition	التماس کرنا
warlike	جنگی
warlike	حربی
warlike	لڑاکا
warlike	جرار
wariness	احتیاط
warily	پر احتیاطی سے
warlike	آمادھ جنگ
wariness	محتاطی
warm	سینکنا
warm	گرم کرنا
light	روشنی
inertness	بے حرکتی
inerrancy	پاک بازی
inertness	کاہلی
genetics	نسلیات
genetic	جنسی
genetic	توالدی
genetics	علم تکوین
genesis	آغاز
genesis	عمل تولید
genesis	ابتدا
genesis	پیدائش
return	پلٹنا
Libya	لیبیا
theoretic	تصوری
theoretical	نظری
thenceworward	بعد از ان
thenceworward	تب سے
theomania	مذہبی جنون
theoretic	نظری
theocracy	دینی طرز حکومت
theologian	مذہبی عالم
theology	دینیات
theology	الاہیات
dudgeon	کرپان
dudgeon	قرولی
dull	بے وقوف
dull	بے رنگ
expression	بات
idiom	بات
maxim	بات
old saw	بات
phrase	بات
proverb	بات
saying	بات
vile	قبیح
vile	رذیل
vile	حقیر
vile	ہیچ
vile	ادنا
vile	بد ذات
vile	پاجی
vile	پست
feather	پر
feather	پنکھ
tariff	چنگی
tariff	محصول
tariff	نرخ
tariff	شرح نامہ
target	ہدف
target	نشانہ
target	منتہا
target	ضد
tariff	اجرت
tariff wall	ناکہ بندی
city	شہر
town	شہر
chin	ٹھوڑی
child	بچہ
cherry	آلو بالو
who	جو
who	کون
sandstone	سنگ ریگ
sandy soil	ریتی
sandbank	ریتیلا ساحل
sandbar	ریت کا تودہ
sangfroid	اتمنام
sangfroid	سکونی
sandpit	ریت کا ذخیرہ
sangfroid	دل جمعی
sanguine	خونی
sanguine	لال
Anadyr Time	انیدر ٹائم
Anadyr Summer Time	انیدر سمر ٹائم
peach	خبانی
dick	لنڈ
cock	لنڈ
prick	لنڈ
accomplishment	کمال
accomplishment	مہارت
accomplishment	ہنر
accomplished	سگھڑ
accomplished	تربیت یافتہ
shade	چھایا
cat	بلى
ready	چاق
bathroom	غسلخانہ
bathroom	سنانگھر
workgroup	گروہ کار
hunger	خواہش
hunger	پیٹ
hunger	اشتہا
hunger	جوع
hunger	آرزو
hunger	بھوک
hundred	سو
hundred	صد
hunger	طلب
hungry	بھوکا
blossom out	کھلنا
flourish	کھلنا
prosper	کھلنا
Dome of the Rock	قبۃ الصخرۃ
Omar Sharif	عمر شریف
Ceres	سیریس
trunk	بڑا صندوق
trundle	لڑہکانا
trunk	ہاتھی کی سونڈ
trunk	دھڑ
trunk	تنا
trunk	جسم
trust	اعتبار کرنا
trust	اعتبار
trust	امانت
islander	جزیرے کا
settings modifier	سیٹنگیں ترمیم کار
page footer	پایان صفحہ
page field	صفحہ قطعہ
page file	صفحہ مسل
PAGE DOWN key	۔PAGE DOWNکلید
Page Editor	صفحہ تدوین کار
rest in peace	امن میں آرام کرنا
image	اثر
Wed	بدھ
Tue	منگل
Sat	ہفتہ
safety	زامن
safety	حفاظت
physics	طبیعیات
Q2	دوسری سہ ماہی
Q1	پہلی سہ ماہی
Q4	چوتهی سہ ماہی
Q3	تیسری سہ ماہی
in	بر
in	بی
impute	تہمت لگانا
imputation	بہتان
imputation	اتہام
imputation	تہمت
in	اندر
in	ادھر ادھر
in	میں
in	با
appearance	چہرہ
aspect	چہرہ
complexion	چہرہ
countenance	چہرہ
expression	چہرہ
face	چہرہ
look	چہرہ
visage	چہرہ
volt	وولٹ
banknote	نوٹ
premonitory	پیش اگہ
premonitory	نظیر
premise	بنیاد
premier	مقدم
premiership	اولیت
premeditate	تائمل کرنا
premeditated	پہلے سے سوچا ہوا
prepare	کمر باندھنا
uterus	دھرن
utensil	برتن
Hindustani	ہندوستانی
Hinduism	ہندو دھرم
Hinduism	ہندو مذہب
Hindustani	ہندوستانی
Hindustan	ہندوستان
Hindustan	ہندوستان
Hindu Kush	ہندوکش
Estonia	اسٹونیا
Islamic Republic of Pakistan	اسلامی جمہوریۂ پاکستان
Islam	اسلام
Islamic	اسلامی
Islamabad	اسلام آباد
thousand	ہزار
slime	کیچڑ
slim	پتلا دبلا
slim	وزن کم کرنا
slightly	تھوڑا سا
slim	نازک
slim	نازنین
slight	قلیل
slight	خفیف
slightest	ذرا سا بھی
slight	تھوڑا سا
Desi	دیسی
Liberia	لائبیریا
vacantness	خالی پن
vacantly	غائب دماغی سے
vacate	چھوڑ دینا
vacation	چھٹی
vacation	تعطیل
vacation	رخصت
room	کمرہ
keep	لحاظ رکھنا
dreariness	تاریکی
dreamlike	خوابی
dreamland	خیالی دنیا
dream	خواب دیکھنا
dreary	بے لطف
dreary	بے کیف
dreary	افسردہ
dreariness	وحشت
dreary	لق و دق
dreary	دل گیر
yikes	ارے
yips	گھبراہٹ
yielding	نرم
yieldingly	دبتے ہوئے
yieldingly	لچتے ہ
yo	او
yo	ارے
body	بدن
bodice	شلوکا
bodice	چھوٹا کپڑا
body	اندام
bodily desire	نفس
bode	شگون دینا
bode	پیش گوئ کرنا
bodice	انگیا
puissant	طاقت ور
puffiness	پھلاؤ
puke	قئے کرنا
pulchritude	خوب صورتی
at times	کبھی کبھی
now and then	کبھی کبھی
once in a while	کبھی کبھی
sometime	کبھی کبھی
sometimes	کبھی کبھی
Khiva	خیوا
moon	قمر
moon	ماہ تاب
moolah	دولت
moodiness	اداسی
moodiness	ملال
moodiness	دلگیری
moon	ماہ
moon	چاند
moon	بدر
moolah	مایا
Mushtaq Ahmad Yusufi	مشتاق احمد يوسفی
burble	غر غرانا
bunting	جھنڈی
lick	ہرانا
lick	چاٹنا
licentious	شہوت پرست
licentious	رندانہ
lid	سروپوش
lid	پپوٹا
lid	ڈھکنا
lid	ڈھکن
lie	چھل
lid	ٹوپی
cordiality	خلوص
cordiality	لطف
cord	تار
cordial	مخلص
cord	ڈوری
cord	ستلی
cordiality	چاؤ
cordiality	خاطر داری
cordial	قلبی
cordial	یار باش
like	کی طرح
like	طرح
Arkhangelsk	آرخانگلسک
tax	ڈنڈ
tax	تہمت لگانا
tax	ملامت لگانا
tax	گوش مالی کرنا
tawny	بھورا
pinch	خلش
acquaintance	دوست
acquaintance	مترا
acquaintance	ولی
acquaintance	یار
bruv	دوست
bruv	مترا
bruv	ولی
bruv	یار
buddy	دوست
buddy	مترا
buddy	ولی
buddy	یار
company	دوست
company	مترا
company	ولی
company	یار
compeer	دوست
compeer	مترا
compeer	ولی
compeer	یار
comrade	دوست
comrade	مترا
comrade	ولی
comrade	یار
eme	دوست
eme	مترا
eme	ولی
eme	یار
friend	دوست
friend	مترا
friend	ولی
friend	یار
sidekick	دوست
sidekick	مترا
sidekick	ولی
sidekick	یار
win	جیتنا
scorpius	برج عقرب
libra	برج میزان
capricorn	برج جدی
pisces	برج حوت
aquarius	برج دلو
ophiuchus	برج حوا
vagrancy	آوارہ گردی
vaginectomy	فرجی جراحت
vaginismus	فرج کی سکڑن
vaginitis	فرجی خارش
vaginal	غلاف نما
vaginate	فرجی
vaginate	غلاف دار
vaginate	نیامی
matter	مادہ
matter	مسئلہ
matter of fact	غیر دلچسپ
matter of fact	ہقیقی
matter	معاملہ
matter	قصہ
undermining	بیخ کنی
undermost	فر و تر
undermost	کم ترین
undermost	زیرین
undermine	سرنگ لگانا
underminer	جڑ خودنے والا
underminer	نقب زن
underminer	خفیہ طور پر کمزور یا برباد کرنے والا
underneath	نیچے
underneath	نچلی طرف
oration	تقریر
oration	خطبہ
orange	سنگترہ
orange	نا رنگی
oration	کلام
orarian	ساحلی
oral	زبانی
oral	منہ سے متعلق
orally	زبانی
orally	منہ سے
popular	مقبول
popularly	ہر دل عزیز طور پر
pope	پاپائے روم
poppy	خش خاش کا پھول
poppycock	احمقانہ بات
poppycock	بکواس
poppy seeds	خش خاش
poppied	افیمی
populace	عوام
popular	ہر دل عزیز
respite	فراغت
respite	وقفہ
Henry James	ہنری جیمز
resplendent	درخ شان
Nikita Khrushchev	نکیتا خروشیف
imagination	وہم
imagine	خیال کرنا
Peri	پری
jest	مذاق کرنا
jest	چوٹ لگانا
jeroboam	ایک بڑی شیشی
jerky	جھٹکے والا
jess	پھندنا
jess	پیٹی
jerk	اچھل کود
jerk	جھٹکا
jerkin	سدری
jerkin	انگرکھی
get up	اٹھنا
electric locomotive	برقی ریلوے انجن
cusp	سر
mountaintop	سر
zenith	سر
border	سنجاف
border	پلو
border	پلا
job requirement	ضرورت
modal case	ضرورت
necessitude	ضرورت
occasion	ضرورت
epidermis	اوپری جلد
epidemy	وبا
epidemy	آفت
epidemical	وبائ
ignition	سوزش
Open Sync Center	ہم وقت سازی مرکز کھولیں
dogma	اصول عقائد
dogma	قول
dogmatic	کٹر مذہبی
dogmatism	مذہبی تعصب
senseless	بے خود
senseless	بے معنی
senseless	اوٹ پٹانگ
senselessness	بے وقوفی
senselessness	وارفتگی
sensual	نفس پرست
sensual	نفسانی
sensuality	عیش
Ash-Shu’ara	الشعرآء
inclement	شدید
inclement	طوفانی
incitement	شہ
incitement	شر
incite	سلگانا
incite	ورغلانا
inclement	کرخت
inclement	سخت
incitement	تحریک
incivility	بد تہذیبی
Semitic languages	سامی زبانیں
encompass	لپیٹ لینا
enclose	گھیرنا
indweller	باشندہ
feeble	نا توان
feeble	نحیف
fee	اجرت
feeble	کم زور
fee	ہبا
fee	نذر
federative	وفاقی
fee	دستوری
feeble	پلپلا
feeble	زار
tenderly	نرمی سے
tenderness	نزاکت
specimen	نمونہ
specimen	بانگی
specified	مخصوص
specification	تفصیل
specification	نوعیت
species	صنف
species	قسم
quaint	شیخ چلی
quaint	من موجی
quail	پژہ مردہ ہونا
quail	مرجھانا
quaint	خوش کن
quaint	غیر معمولی
quail	بٹیر
quail	ہمت ہارنا
quail	گھٹنا
Ignore Symbols Sorting	علامات کی چھٹائی نظرانداز کریں
Reversed Accent Sorting	معکوس تلفظ کی چھٹائی
Bulgarian	لغاري
subsequently	آیندہ
subsequent	ما بعد
subscription	اشتراک
subscription	چندہ
subpoena	چالان جاری کرنا
subornation	جرم کی ترغیب
subordination	پابندی
subordination	محکومیت
subsurvience	اعانت
subsequently	پیچھے
incompetent	عاری
unable	عاری
management console	بندوبست کنسول
managed folder mailbox assistant	منظم فولڈر میل باکس معاون
managed folder mailbox policy	منظم فولڈر میل باکس پالیسی
varicose	ورم دار
varicose vein	سوجی ہئ رگ
varied	اختلافی
government debt	ڈبنچر
national debt	ڈبنچر
public debt	ڈبنچر
Microsoft Office InterConnect	Microsoft Office InterConnect
elapse	گزرنا
elapse	بیتنا
elastic	لچک دار
elapsed	گذشتہ
élan	جوش
élan	ہلا
élan	ولولہ
élan	امنگ
elation	رفعت
elasticity	لچک
drawing canvas	ڈرائنگ کینوس
drawing object	ڈرائنگ آبجیکٹ
yack/yak	دل لگی
yack/yak	ہنسی مذاق
yahoo	اؤ چلو
yack/yak	بک بک
yahoo	اجڈ
yahoo	وحشی
yahoo	گنوار
yahoo	غیر مہذب
yackety yak	بک بک کرنا
yak	گیاک
glass	آئینہ
glass	درپن
glass	شیشہ
looking glass	آئینہ
looking glass	درپن
looking glass	شیشہ
looking-glass	آئینہ
looking-glass	درپن
looking-glass	شیشہ
mirror	آئینہ
mirror	درپن
mirror	شیشہ
sing	گانا
notebook	نوٹ بک
pencil	پنسل
gazelle	غزال
sister	بہن
soap	صابن
disuse	استعمال نہ کرنا
cab	تانگا
cab	اکا
cab	بگھی
byword	ضرب المثل
cabal	سانٹھ گانٹھ
cabal	سازشی گروہ
cabal	سازش
cabal	جتھہ
cabbage	بند گوبھی
caballero	گھڑ سوار
unconstrained	بے باک
late	حال ہی میں
late	چند روز سے
later	آخر کا
later	آگے کا
late	متوفی
late	مرحوم
late	ابھی
late	آج کل
later	بعد میں
later	بعد کا
degree	ڈگری
Seine	دریائے سین
sport	کھیل
sport	ورزش
civility	الطفات
appearance	ادا
loud	اونچا
useful	سود مند
counterproposal	جوابی تجویز
counterpunch	جوابی چوٹ
counterpoise	دھڑا
counterpoise	پاسنگ
counterpoise	توازن
counterproductive	نقصان دہ
counterpart	مسننا
counterpoint	نغمات کا مرکب
counterpoise	با اثر مقابلہ کرنا
proficiency	دخل
professionalism	پیشہ ورانہ خصوصیت
professor	مدرس
profession	کار
profession	کسب
stint	ضبط
expectation	امید
expectation	آشا
hope	امید
hope	آشا
prospect	امید
prospect	آشا
dictionary	لغت
client computer	کمپیوٹر وصول کار
uncut	جسے کاٹا نہ گیا ہو
November	نومبر
Zoroaster	زرتشت
sit down	بیٹھنا
levy	چندہ
levy	محصول لینا
levity	بے خایالی
levity	البیلا پن
levitation	سبکی
levitation	شناوری
levy	محصول لگانا
levity	اوچھا پن
levity	خود نمائ
levity	ہلکا پن
ewer	ابریق
pitcher	ابریق
shrink	پچکانا
shrink	سکیڑنا
shrink	گھٹنا
shrink	پچکنا
shrimp	پودنا
shrimp	جھینگا مچھلی
shrine	در گاہ
shrine	مزار
shrink	سمٹنا
shrink	سکڑنا
injunction	تاکید
injunction	قدغن
injunctive	امتنعی
injunctive	حدایتی
injunction	ہدایت
injunction	چھوٹ
injunction	فرمان
injunction	حکم نامہ
injure	چوٹ لگان
injure	بگاڑنا
joined	واصل
joined	پیوستہ
joined	پیوست
joined	ملا ہوا
joined	مربوط
joined	جڑا
join	شریک ہونا
join	شامل ہونا
join	رشتہ جڑنا
integration	ہم آہنگ سازی
integrate	ضم کرنا
intarsia	کوفت گری
integrality	سالمیت
integrate	متحد کرنا
integral	تمام
integral	صحیح
integrality	کاملیت
scale	پیمانہ
chadar	چادر
forfeiture	ضبطی
forewarn	خبر دار کرنا
forge	لوہار خانہ
forfeit	جرمانہ
forfeit	ضبطی
forfeited	قرق
forge	ڈھالنا
forge	گھڑنا
Bank AL Habib	بينک الحبيب لميٹد
milk	دودھ
Jersey	جرسی
T-shirt	جرسی
shirt	جرسی
vow	سوگند
vowel	حرف علت
vox populi	عوام کی رائے
voyage	سفر
government	سلطنت
governmental	سر کاری
governmental	حکومتی
government	عمل داری
governance	انتظام
government	راج
government	حکومت
publish	شائع کریں
play	چلائیں
volume	حجم
Andorra	انڈورا
Andorra la Vella	انڈورا لا ویلا
question	سوال
question	پرشن
incuse	ٹھپا لگانا
incurable	نا قابل علاج
incurvate	خم دینا
incurvate	تیڑھا کرنا
incurvature	خم
incuse	نقش کرنا
incursion	دھاوا
incursion	حملہ
incursion	مداخلت
bomb	بم
Roman Catholic Church	رومن کیتھولک کلیسا
Francis	فرانسس
Pope Benedict ⅩⅥ	پوپ بینیڈکٹ شانزدہم
baht	بات
example	بانگی
example	مثال
examination	امتحان
examination	جائزہ
examination	جرح
examination	پرکھ
examination	پڑتال
examination	پوچھ گچھ
examination paper	پرچہ
examining	تجسس
not ill	ہٹا کٹا
not	نہیں
notable	قابل یاد گار
notable	مشہور و معروف
notable	ممتاز
cheek	گال
prick	خلش
price	قیمت چڑھانا
priceless	ان مول
pricey	مہنگا
denunciation	گالیوں کی بوچھاڑ
denunciation	تفذیح
deny	انکار کرنا
deny	پلٹ جانا
deny	تردید کرنا
deny	الٹنا
depart	چلے جانا
depart	کوچ کرنا
depart	رحلت کرنا
depart	رخت سفر باندھنا
quell	تسکین دینا
quell	مٹانا
queerness	غرابت
queer	لوتی
queer	لونڈا
queer	کھوٹا سکہ
refrigerator	سرد خانہ
refrigerator	فرج
litre	لیٹر
liter	لیٹر
yes:y	ہاں:ہاں
mm	ملی میٹر
kg	kg
meter	میٹر
cm	سینٹی میٹر
km/hr	km/hr
°C	⁰C
gram	گرام
identic	عینی
identic	ویسا ہی
ideation	تصور سازی
idem	ازن
ideally	کاملاً
ideally	تصورن
identic	یکساں
identical	برابر
mother	اماں
ma	اماں
mommy	اماں
mum	اماں
mummy	اماں
mamma	اماں
mom	اماں
name	اسم
name	نام
named	مشہور
named	نام دہندہ
name	نام دھرنا
name	نام لینا
name	نام رکھنا
name	نام زد کرنا
nameless	بے نام
nameless	بلا اسم
bloodshed	خون
mass murder	خون
slaughtering	خون
Direct Push	براہ راست فراہمی
direct memory access	راست میموری رسائی
forbear	پرہیز کرنا
forbear	محتاط رہنا
foray	یل غار
forage	رسد کاٹ دینا
forage	لوٹنا
forage	چارا مہیا کرنا
forage	چارہ
for the sake of	واستے
for many years	سالون
for many years	برسون
Shibli Nomani	شبلی نعمانی
hat	ٹوپى
Polaris	قطبی ستارہ
Polaris	پولارس
Polish	پولستاني
wet	بھیگا
wet	گیلا
wet	نم
wet	نمناک
wet	تر
white elephant	سفید ہاتھی
white heat	شدید جوش
garlic	لہسن
sky	امبر
sky	آسمان
sky	آکاش
sky	گگن
sky	آسمان
sky	آکاش
quarrelsome	لڑاکا
Michigan	مشی گن
Ken	کین
guarantor	کفیل
Jupiter	[[مشتری]]
Jupiter	[[برہسپت]]
Aegean Sea	بحیرہ ایجیئن
like this	اسا
like that	ویسا
like	وار
like	مطابق
like	جیسا
like	وش
like	پسند کرنا
like	چاہنا
like	مثل
like	مانند
azure	آسمانی
such	ایسا
bound	پابند
bound	لپکنا
bouncer	لاف زن
bouncer	گپپی
bound	کودنا
bouncer	لپاڑیا
bounce	چوکڑی بھرنا
boulder	چٹان
bouncer	ڈینگ مارنے والا
bounce	چوکڑی
Northern Sami	شمالی سامی
private	نہاں
private	مخفی
private	خاص
private	آپس کا
private	ذاتی
private	نجی
mishap	آفت
